filename,width,height,mode,label
Chili__yellowish/Cabai virus kuning34.jpg,279,180,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning33.jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning30.jpg,311,162,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning16.jpg,285,177,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning21.jpg,225,225,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning24.jpg,275,183,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning13.jpg,259,194,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning26.jpg,290,174,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning05.jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning14.jpg,299,169,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning03.jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning15.jpg,290,174,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning01.jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning02.jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning35.jpg,200,138,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning12.jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning23.jpg,300,168,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning25.jpg,257,196,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning07.jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning28.jpg,300,168,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning19.jpg,259,195,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning27.jpg,239,211,RGB,Chili__yellowish
Chili__yellowish/yellowish15 (1).jpg,174,290,RGB,Chili__yellowish
Chili__yellowish/yellowish06.jpg,275,183,RGB,Chili__yellowish
Chili__yellowish/yellowish11 (1).jpg,279,180,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning42.jpg,296,170,RGB,Chili__yellowish
Chili__yellowish/yellowish15.jpg,227,151,RGB,Chili__yellowish
Chili__yellowish/yellowish08.jpg,259,194,RGB,Chili__yellowish
Chili__yellowish/yellowish07.jpg,221,228,RGB,Chili__yellowish
Chili__yellowish/yellowish09.jpg,194,259,RGB,Chili__yellowish
Chili__yellowish/yellowish01 (1).jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/yellowish10 (1).jpg,300,168,RGB,Chili__yellowish
Chili__yellowish/yellowish01.jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning37.jpg,194,259,RGB,Chili__yellowish
Chili__yellowish/yellowish09 (1).jpg,259,194,RGB,Chili__yellowish
Chili__yellowish/yellowish12 (1).jpg,290,174,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning39.jpg,179,282,RGB,Chili__yellowish
Chili__yellowish/yellowish05 (1).jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/yellowish17 (1).jpg,275,183,RGB,Chili__yellowish
Chili__yellowish/yellowish16 (1).jpg,195,259,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning44.jpg,195,259,RGB,Chili__yellowish
Chili__yellowish/yellowish12.jpg,224,224,RGB,Chili__yellowish
Chili__yellowish/yellowish03 (1).jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/yellowish10.jpg,266,190,RGB,Chili__yellowish
Chili__yellowish/yellowish03.jpg,189,266,RGB,Chili__yellowish
Chili__yellowish/yellowish04 (1).jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/yellowish06 (1).jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning43.jpg,300,168,RGB,Chili__yellowish
Chili__yellowish/yellowish07 (1).jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/yellowish17.jpg,259,194,RGB,Chili__yellowish
Chili__yellowish/yellowish02.jpg,254,199,RGB,Chili__yellowish
Chili__yellowish/yellowish05.jpg,194,259,RGB,Chili__yellowish
Chili__yellowish/Cabai virus kuning38.jpg,251,201,RGB,Chili__yellowish
Chili__yellowish/yellowish14 (1).jpg,271,186,RGB,Chili__yellowish
Chili__yellowish/yellowish04.jpg,300,168,RGB,Chili__yellowish
Chili__yellowish/yellowish08 (1).jpg,307,164,RGB,Chili__yellowish
Chili__yellowish/yellowish11.jpg,259,194,RGB,Chili__yellowish
Chili__yellowish/yellowish02 (1).jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/yellowish14.jpg,168,94,RGB,Chili__yellowish
Chili__yellowish/yellowish13.jpg,259,194,RGB,Chili__yellowish
Chili__yellowish/yellowish16.jpg,275,183,RGB,Chili__yellowish
Chili__yellowish/yellowish13 (1).jpg,282,179,RGB,Chili__yellowish
Chili__yellowish/yellowish19 (1).jpg,207,243,RGB,Chili__yellowish
Chili__yellowish/yellowisha07.jpg,290,174,RGB,Chili__yellowish
Chili__yellowish/yellowish24.jpg,259,194,RGB,Chili__yellowish
Chili__yellowish/yellowisha03.jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/yellowisha15.jpg,257,196,RGB,Chili__yellowish
Chili__yellowish/yellowish22 (1).jpg,251,201,RGB,Chili__yellowish
Chili__yellowish/yellowisha06.jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/yellowisha16.jpg,257,196,RGB,Chili__yellowish
Chili__yellowish/yellowish26.jpg,259,194,RGB,Chili__yellowish
Chili__yellowish/yellowisha13.jpg,225,174,RGB,Chili__yellowish
Chili__yellowish/yellowish23.jpg,183,275,RGB,Chili__yellowish
Chili__yellowish/yellowisha12.jpg,264,191,RGB,Chili__yellowish
Chili__yellowish/yellowisha01.jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/yellowish21.jpg,281,179,RGB,Chili__yellowish
Chili__yellowish/yellowish28.jpg,201,251,RGB,Chili__yellowish
Chili__yellowish/yellowish23 (1).jpg,268,188,RGB,Chili__yellowish
Chili__yellowish/yellowish18 (1).jpg,289,175,RGB,Chili__yellowish
Chili__yellowish/yellowisha21.jpg,225,225,RGB,Chili__yellowish
Chili__yellowish/yellowish20 (1).jpg,259,194,RGB,Chili__yellowish
Chili__yellowish/yellowisha14.jpg,194,260,RGB,Chili__yellowish
Chili__yellowish/yellowisha18.jpg,282,179,RGB,Chili__yellowish
Chili__yellowish/yellowish25.jpg,245,205,RGB,Chili__yellowish
Chili__yellowish/yellowish27.jpg,197,256,RGB,Chili__yellowish
Chili__yellowish/yellowisha11.jpg,279,180,RGB,Chili__yellowish
Chili__yellowish/yellowisha19.jpg,251,201,RGB,Chili__yellowish
Chili__yellowish/yellowish22.jpg,220,165,RGB,Chili__yellowish
Chili__yellowish/yellowisha17.jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/yellowisha22.jpg,274,184,RGB,Chili__yellowish
Chili__yellowish/yellowish21 (1).jpg,292,173,RGB,Chili__yellowish
Chili__yellowish/yellowisha20.jpg,218,232,RGB,Chili__yellowish
Chili__yellowish/yellowish20.jpg,168,300,RGB,Chili__yellowish
Chili__yellowish/yellowisha09.jpg,307,164,RGB,Chili__yellowish
Chili__yellowish/yellowisha08.jpg,259,194,RGB,Chili__yellowish
Chili__yellowish/yellowisha05.jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/yellowisha04.jpg,100,100,RGB,Chili__yellowish
Chili__yellowish/yellowish19.jpg,194,259,RGB,Chili__yellowish
Chili__yellowish/yellowish18.jpg,289,175,RGB,Chili__yellowish
Chili__yellowish/yellowisha10.jpg,300,168,RGB,Chili__yellowish
Chili__healthy/Cabai sehat040.jpg,259,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat005.jpg,275,183,RGB,Chili__healthy
Chili__healthy/Cabai sehat042.jpg,310,163,RGB,Chili__healthy
Chili__healthy/Cabai sehat022.jpg,225,225,RGB,Chili__healthy
Chili__healthy/Cabai sehat016.jpg,276,183,RGB,Chili__healthy
Chili__healthy/Cabai sehat049.jpg,299,168,RGB,Chili__healthy
Chili__healthy/Cabai sehat023.jpg,224,225,RGB,Chili__healthy
Chili__healthy/Cabai sehat007.jpg,259,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat043.jpg,259,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat039.jpg,168,299,RGB,Chili__healthy
Chili__healthy/Cabai sehat035.jpg,275,183,RGB,Chili__healthy
Chili__healthy/Cabai sehat014.jpg,208,242,RGB,Chili__healthy
Chili__healthy/Cabai sehat009.jpg,166,303,RGB,Chili__healthy
Chili__healthy/Cabai sehat026.jpg,259,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat020.jpg,300,168,RGB,Chili__healthy
Chili__healthy/Cabai sehat041.jpg,307,164,RGB,Chili__healthy
Chili__healthy/Cabai sehat012.jpg,299,168,RGB,Chili__healthy
Chili__healthy/Cabai sehat015.jpg,310,163,RGB,Chili__healthy
Chili__healthy/Cabai sehat029.jpg,183,275,RGB,Chili__healthy
Chili__healthy/Cabai sehat004.jpg,225,225,RGB,Chili__healthy
Chili__healthy/Cabai sehat017.jpg,259,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat006.jpg,275,183,RGB,Chili__healthy
Chili__healthy/Cabai sehat038.jpg,275,183,RGB,Chili__healthy
Chili__healthy/Cabai sehat034.jpg,259,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat010.jpg,297,170,RGB,Chili__healthy
Chili__healthy/Cabai sehat003.jpg,229,220,RGB,Chili__healthy
Chili__healthy/Cabai sehat050.jpg,275,183,RGB,Chili__healthy
Chili__healthy/Cabai sehat019.jpg,259,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat021.jpg,318,159,RGB,Chili__healthy
Chili__healthy/Cabai sehat048.jpg,275,183,RGB,Chili__healthy
Chili__healthy/Cabai sehat001.jpg,300,168,RGB,Chili__healthy
Chili__healthy/Cabai sehat028.jpg,275,183,RGB,Chili__healthy
Chili__healthy/Cabai sehat008.jpg,318,159,RGB,Chili__healthy
Chili__healthy/Cabai sehat032.jpg,225,225,RGB,Chili__healthy
Chili__healthy/Cabai sehat045.jpg,272,185,RGB,Chili__healthy
Chili__healthy/Cabai sehat031.jpg,301,167,RGB,Chili__healthy
Chili__healthy/Cabai sehat033.jpg,300,168,RGB,Chili__healthy
Chili__healthy/Cabai sehat027.jpg,290,174,RGB,Chili__healthy
Chili__healthy/Cabai sehat047.jpg,259,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat018.jpg,275,183,RGB,Chili__healthy
Chili__healthy/Cabai sehat013.jpg,275,183,RGB,Chili__healthy
Chili__healthy/Cabai sehat002.jpg,300,168,RGB,Chili__healthy
Chili__healthy/Cabai sehat046.jpg,272,185,RGB,Chili__healthy
Chili__healthy/Cabai sehat025.jpg,284,177,RGB,Chili__healthy
Chili__healthy/Cabai sehat037.jpg,214,236,RGB,Chili__healthy
Chili__healthy/Cabai sehat011.jpg,259,195,RGB,Chili__healthy
Chili__healthy/Cabai sehat075.jpg,166,303,RGB,Chili__healthy
Chili__healthy/Cabai sehat063.jpg,259,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat060.jpg,274,184,RGB,Chili__healthy
Chili__healthy/Cabai sehat066.jpg,280,180,RGB,Chili__healthy
Chili__healthy/Cabai sehat054.jpg,300,168,RGB,Chili__healthy
Chili__healthy/Cabai sehat053.jpg,273,185,RGB,Chili__healthy
Chili__healthy/Cabai sehat101.jpg,235,214,RGB,Chili__healthy
Chili__healthy/Cabai sehat078.jpg,299,168,RGB,Chili__healthy
Chili__healthy/Cabai sehat082.jpg,194,259,RGB,Chili__healthy
Chili__healthy/Cabai sehat069.jpg,259,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat074.jpg,310,163,RGB,Chili__healthy
Chili__healthy/Cabai sehat056.jpg,225,225,RGB,Chili__healthy
Chili__healthy/Cabai sehat098.jpg,229,220,RGB,Chili__healthy
Chili__healthy/Cabai sehat052.jpg,235,215,RGB,Chili__healthy
Chili__healthy/Cabai sehat094.jpg,194,259,RGB,Chili__healthy
Chili__healthy/Cabai sehat093.jpg,244,207,RGB,Chili__healthy
Chili__healthy/Cabai sehat084.jpg,265,190,RGB,Chili__healthy
Chili__healthy/Cabai sehat090.jpg,259,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat059.jpg,256,197,RGB,Chili__healthy
Chili__healthy/Cabai sehat061.jpg,318,159,RGB,Chili__healthy
Chili__healthy/Cabai sehat095.jpg,293,172,RGB,Chili__healthy
Chili__healthy/Cabai sehat079.jpg,259,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat096.jpg,275,183,RGB,Chili__healthy
Chili__healthy/Cabai sehat100.jpg,241,209,RGB,Chili__healthy
Chili__healthy/Cabai sehat087.jpg,259,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat077.jpg,300,168,RGB,Chili__healthy
Chili__healthy/Cabai sehat081.jpg,259,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat085.jpg,318,159,RGB,Chili__healthy
Chili__healthy/Cabai sehat055.jpg,260,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat076.jpg,209,242,RGB,Chili__healthy
Chili__healthy/Cabai sehat067.jpg,226,223,RGB,Chili__healthy
Chili__healthy/Cabai sehat080.jpg,259,195,RGB,Chili__healthy
Chili__healthy/Cabai sehat070.jpg,189,267,RGB,Chili__healthy
Chili__healthy/Cabai sehat065.jpg,225,225,RGB,Chili__healthy
Chili__healthy/Cabai sehat102.jpg,275,183,RGB,Chili__healthy
Chili__healthy/Cabai sehat072.jpg,259,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat062.jpg,194,259,RGB,Chili__healthy
Chili__healthy/Cabai sehat097.jpg,259,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat058.jpg,310,163,RGB,Chili__healthy
Chili__healthy/Cabai sehat099.jpg,260,194,RGB,Chili__healthy
Chili__healthy/Cabai sehat071.jpg,299,169,RGB,Chili__healthy
Chili__healthy/Cabai sehat083.jpg,225,225,RGB,Chili__healthy
Chili__healthy/Cabai sehat092.jpg,275,183,RGB,Chili__healthy
Chili__healthy/Cabai sehat114.jpg,272,185,RGB,Chili__healthy
Chili__healthy/Cabai sehat105.jpg,277,182,RGB,Chili__healthy
Chili__healthy/Cabai sehat107.jpg,276,183,RGB,Chili__healthy
Chili__healthy/Cabai sehat103.jpg,312,161,RGB,Chili__healthy
Chili__healthy/Cabai sehat112.jpg,220,230,RGB,Chili__healthy
Chili__healthy/Cabai sehat111.jpg,241,209,RGB,Chili__healthy
Chili__healthy/Cabai sehat106.jpg,293,172,RGB,Chili__healthy
